Spatial ID,Output DER Types,All Sectors,Act vs Sim,Output Periods,Incremental Count (Calibration),Cumulative Count (Calibration),Incremental MW-AC (Calibration),Cumulative MW-AC (Calibration)
92111,Solar PV,Residential,Simulated,28-Feb-2012,4.09512391,103.03472791,0.01891372,0.33627116
92112,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92113,Solar PV,Residential,Simulated,28-Feb-2012,1.19812616,30.36378282,0.00572406,0.173193
92114,Solar PV,Residential,Simulated,28-Feb-2012,5.1373953,74.00511925,0.02205485,0.219901
92115,Solar PV,Residential,Simulated,28-Feb-2012,5.78951818,174.34773657,0.02686995,0.5484144
92116,Solar PV,Residential,Simulated,28-Feb-2012,3.11593544,122.05713123,0.01398577,0.41819422
92117,Solar PV,Residential,Simulated,28-Feb-2012,8.24310927,276.18149171,0.03667692,0.92944498
92118,Solar PV,Residential,Simulated,28-Feb-2012,2.48112596,105.62241162,0.0151234,0.45834334
92119,Solar PV,Residential,Simulated,28-Feb-2012,5.44753647,116.64455136,0.02850077,0.44579084
92120,Solar PV,Residential,Simulated,28-Feb-2012,7.51616029,361.4825266,0.04203492,0.98862706
92121,Solar PV,Residential,Simulated,28-Feb-2012,1.28072231,24.50295391,0.00718014,0.10911236
92122,Solar PV,Residential,Simulated,28-Feb-2012,4.36578004,123.5367892,0.02255211,0.4878771
92123,Solar PV,Residential,Simulated,28-Feb-2012,7.91452565,103.39352068,0.03900169,0.39855714
92124,Solar PV,Residential,Simulated,28-Feb-2012,8.06842549,138.781814,0.04258696,0.56484996
92126,Solar PV,Residential,Simulated,28-Feb-2012,9.00627221,147.56250584,0.04241401,0.48467961
92127,Solar PV,Residential,Simulated,28-Feb-2012,14.34011052,408.12287199,0.08756392,1.48729453
92128,Solar PV,Residential,Simulated,28-Feb-2012,9.05819256,204.73326999,0.04619664,0.95149139
92129,Solar PV,Residential,Simulated,28-Feb-2012,13.25342065,314.95355907,0.06762178,1.23560059
92130,Solar PV,Residential,Simulated,28-Feb-2012,13.17433198,504.70931676,0.07797155,1.87556316
92131,Solar PV,Residential,Simulated,28-Feb-2012,13.00721636,397.40827391,0.07941387,1.53181692
92132,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92136,Solar PV,Residential,Simulated,28-Feb-2012,0.00764193,0.01536309,0.00004495,0.00009036
92139,Solar PV,Residential,Simulated,28-Feb-2012,2.18514008,24.23436138,0.00880124,0.08506702
92145,Solar PV,Residential,Simulated,28-Feb-2012,0.0174735,0.03484918,0.00006398,0.0001276
92152,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92154,Solar PV,Residential,Simulated,28-Feb-2012,4.8115901,84.43758764,0.02624197,0.25110573
92158,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92161,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92173,Solar PV,Residential,Simulated,28-Feb-2012,0.8947071,18.75705063,0.00330782,0.65879599
92179,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92182,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92199,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92536,Solar PV,Residential,Simulated,28-Feb-2012,0.05438035,0.10853128,0.00020219,0.00040352
92624,Solar PV,Residential,Simulated,28-Feb-2012,0.5195949,16.02686128,0.00347179,0.05956121
92629,Solar PV,Residential,Simulated,28-Feb-2012,1.96983156,42.89216651,0.01307455,0.20853384
92651,Solar PV,Residential,Simulated,28-Feb-2012,0.04281638,21.08605892,0.00028057,0.10165594
92653,Solar PV,Residential,Simulated,28-Feb-2012,4.08515549,101.99226122,0.0335861,0.59051836
92656,Solar PV,Residential,Simulated,28-Feb-2012,0.07141032,1.14349377,0.00038634,0.00377633
92672,Solar PV,Residential,Simulated,28-Feb-2012,2.38193497,67.69687671,0.0135154,0.24917668
92673,Solar PV,Residential,Simulated,28-Feb-2012,4.44807882,74.7140938,0.02977456,0.32063043
92674,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92675,Solar PV,Residential,Simulated,28-Feb-2012,3.83778489,122.56508307,0.02697171,0.53468792
92676,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92677,Solar PV,Residential,Simulated,28-Feb-2012,5.34633277,117.52451058,0.03400396,0.53364141
92679,Solar PV,Residential,Simulated,28-Feb-2012,2.39407212,39.66407831,0.01886824,0.25025868
92688,Solar PV,Residential,Simulated,28-Feb-2012,1.04950678,23.05597453,0.00649908,0.09773163
92690,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92691,Solar PV,Residential,Simulated,28-Feb-2012,1.70186841,30.32532797,0.01090102,0.13820881
92692,Solar PV,Residential,Simulated,28-Feb-2012,2.24248878,38.38006787,0.01323949,0.1708596
92693,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92694,Solar PV,Residential,Simulated,28-Feb-2012,3.11544123,511.225131,0.0190021,1.01836379
92697,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
91901,Solar PV,Residential,Actual,31-Mar-2012,3,245,0.0208,1.552821
91902,Solar PV,Residential,Actual,31-Mar-2012,5,117,0.0328,0.590231
91905,Solar PV,Residential,Actual,31-Mar-2012,0,7,0,0.0439
91906,Solar PV,Residential,Actual,31-Mar-2012,0,11,0,0.0393
91910,Solar PV,Residential,Actual,31-Mar-2012,4,138,0.0093,0.513913
