Record,Utility,Service Zip,System Size DC,System Size AC,Customer Sector,App Approved Date
407,JEA,All,6.75,5.625,Residential,11/9/2015
408,JEA,All,8.37,6.975,Residential,11/9/2015
409,JEA,All,12.15,10.125,Residential,11/9/2015
410,JEA,All,4.05,3.375,Residential,11/10/2015
411,JEA,All,9.72,8.1,Residential,11/30/2015
412,JEA,All,3.78,3.15,Residential,11/30/2015
413,JEA,All,6.48,5.4,Residential,11/24/2015
414,JEA,All,14.04,11.7,Residential,11/30/2015
415,JEA,All,4.05,3.375,Residential,11/24/2015
416,JEA,All,5.886,4.905,Residential,3/1/2016
417,JEA,All,8.1,6.75,Residential,11/24/2015
418,JEA,All,6.48,5.4,Residential,11/30/2015
419,JEA,All,8.04,6.7,Residential,1/23/2018
420,JEA,All,11.34,9.45,Residential,12/8/2015
421,JEA,All,5.13,4.275,Residential,11/20/2015
422,JEA,All,5,4.166666667,Residential,12/19/2015
423,JEA,All,5,4.166666667,Residential,4/7/2016
424,JEA,All,7.83,6.525,Residential,12/11/2015
425,JEA,All,7.56,6.3,Residential,12/30/2015
426,JEA,All,9.12,7.6,Residential,12/19/2015
427,JEA,All,7.02,5.85,Residential,12/11/2015
428,JEA,All,4.32,3.6,Residential,12/11/2015
429,JEA,All,2.85,2.375,Residential,1/7/2016
430,JEA,All,6.24,5.2,Residential,12/15/2015
431,JEA,All,6.75,5.625,Residential,12/30/2015
432,JEA,All,10.46,8.716666667,Residential,1/11/2016
433,JEA,All,9.72,8.1,Residential,12/16/2015
434,JEA,All,4.76,3.966666667,Residential,1/28/2016
435,JEA,All,9.81,8.175,Residential,12/30/2015
436,JEA,All,10.8,9,Residential,12/23/2015
437,JEA,All,7,5.833333333,Residential,2/8/2016
438,JEA,All,10.8,9,Residential,1/13/2016
439,JEA,All,6.84,5.7,Residential,12/28/2015
440,JEA,All,7.56,6.3,Residential,1/15/2016
441,JEA,All,6.24,5.2,Residential,1/11/2016
442,JEA,All,5.13,4.275,Residential,1/13/2016
443,JEA,All,9.72,8.1,Residential,1/13/2016
444,JEA,All,5,4.166666667,Residential,1/13/2016
445,JEA,All,7,5.833333333,Residential,1/13/2016
446,JEA,All,8.91,7.425,Residential,1/20/2016
447,JEA,All,13.5,11.25,Residential,1/15/2016
448,JEA,All,11.34,9.45,Residential,1/21/2016
449,JEA,All,5.04,4.2,Residential,2/26/2016
450,JEA,All,5.94,4.95,Residential,2/2/2016
451,JEA,All,5.7,4.75,Residential,2/9/2016
452,JEA,All,8.26,6.883333333,Residential,1/21/2016
453,JEA,All,3.42,2.85,Residential,4/27/2016
454,JEA,All,5.44,4.533333333,Residential,2/3/2016
455,JEA,All,8.1,6.75,Residential,2/8/2016
456,JEA,All,5.13,4.275,Residential,2/5/2016
457,JEA,All,4.56,3.8,Residential,2/5/2016
458,JEA,All,4.08,3.4,Residential,3/14/2016
459,JEA,All,3.36,2.8,Residential,5/6/2016
460,JEA,All,9.99,8.325,Residential,3/10/2016
461,JEA,All,5.88,4.9,Residential,3/17/2016
462,JEA,All,9.99,8.325,Residential,3/10/2016
463,JEA,All,4.56,3.8,Residential,2/18/2016
464,JEA,All,3.025,2.520833333,Residential,4/28/2016
465,JEA,All,9.99,8.325,Residential,3/10/2016
466,JEA,All,6.48,5.4,Residential,3/3/2016
467,JEA,All,5.94,4.95,Residential,5/2/2016
468,JEA,All,5.2,4.333333333,Residential,4/20/2016
469,JEA,All,10.26,8.55,Residential,4/26/2016
470,JEA,All,11.97,9.975,Residential,3/1/2016
471,JEA,All,4.6,3.833333333,Residential,3/1/2016
472,JEA,All,9.99,8.325,Residential,3/3/2016
473,JEA,All,5.7,4.75,Residential,3/4/2016
474,JEA,All,10.26,8.55,Residential,3/4/2016
475,JEA,All,10.83,9.025,Residential,8/4/2016
476,JEA,All,5.94,4.95,Residential,3/10/2016
477,JEA,All,12.96,10.8,Residential,4/1/2016
478,JEA,All,8.64,7.2,Residential,3/25/2016
479,JEA,All,5.04,4.2,Residential,4/25/2016
480,JEA,All,5.7,4.75,Residential,4/1/2016
481,JEA,All,6.84,5.7,Residential,3/25/2016
482,JEA,All,12.96,10.8,Residential,3/28/2016
483,JEA,All,7.2,6,Residential,3/25/2016
484,JEA,All,7.56,6.3,Residential,3/25/2016
485,JEA,All,7.02,5.85,Residential,3/30/2016
486,JEA,All,8.1,6.75,Residential,4/4/2016
487,JEA,All,7.15,5.958333333,Residential,3/28/2016
488,JEA,All,10.8,9,Residential,4/16/2016
489,JEA,All,3.25,2.708333333,Residential,3/29/2016
490,JEA,All,9.18,7.65,Residential,3/30/2016
491,JEA,All,9.9,8.25,Residential,4/27/2016
492,JEA,All,7.56,6.3,Residential,4/25/2016
493,JEA,All,4.86,4.05,Residential,4/19/2016
494,JEA,All,3.51,2.925,Residential,4/28/2016
495,JEA,All,4.2,3.5,Residential,4/5/2016
496,JEA,All,3.3,2.75,Residential,4/5/2016
497,JEA,All,13.5,11.25,Residential,4/6/2016
498,JEA,All,5.94,4.95,Residential,4/23/2016
499,JEA,All,9.18,7.65,Residential,6/16/2016
500,JEA,All,5.94,4.95,Residential,4/25/2016
501,JEA,All,9.18,7.65,Residential,4/25/2016
502,JEA,All,13.11,10.925,Residential,4/26/2016
503,JEA,All,7.41,6.175,Residential,4/26/2016
504,JEA,All,9.86,8.216666667,Residential,7/13/2016
